Channel,Watch time(Minutes),Stream time(minutes),Peak viewers,Average viewers,Followers,Mature,Language
KamoLRF,269229795,66330,19264,3948,688868,FALSE,German
GoldGlove,268632360,119895,22448,2196,1433703,FALSE,English
harbleu,266439435,65775,13230,3926,349467,FALSE,English
runthefutmarket,265426125,84945,20746,2999,292812,FALSE,English
웁_게임방송 (alenenwooptv),265229580,189900,4290,1418,125615,FALSE,Korean
KarmikKoala,262630950,120450,10587,2205,151920,FALSE,Russian
JustCooman,262612740,76035,10776,3287,159117,FALSE,Russian
IamCristinini,262492530,135240,7943,1906,398634,FALSE,Spanish
Xop0,262276575,235920,4074,1110,94751,FALSE,Russian
Warframe,262160025,13740,346131,12843,1254031,FALSE,English
Smoke,261617925,100050,25500,2331,166007,FALSE,English
Moondye7,261610875,97350,22231,2530,306920,FALSE,German
jean_mago,261252810,113445,11418,2012,342691,FALSE,Portuguese
mL7support,260845395,115380,9038,2124,342850,FALSE,English
KriszhAdvice,258011790,147675,28709,1593,284899,FALSE,Hungarian
QuickyBaby,255820995,118710,11077,2207,416329,FALSE,English
aDrive,255087615,101085,14637,1692,461081,FALSE,English
Ampeterby7,254852265,27480,43882,9301,1194476,FALSE,Spanish
KabajiOW,254772135,72240,13865,3252,369667,TRUE,English
SNEUX,254717640,57510,30067,3748,196635,FALSE,Spanish
TrU3Ta1ent,254345355,113745,10901,2204,595939,FALSE,English
OgamingSC2,253498875,484455,11457,547,105368,FALSE,French
머독 (ajehr),252452325,76575,11117,3292,362794,FALSE,Korean
cyr,252345645,146190,19267,1678,182107,TRUE,English
MrSavage,251627985,33030,31525,6883,1651212,FALSE,English
Perxitaa,251497200,30330,55418,8010,689582,FALSE,Spanish
IlloJuan,251067885,60495,24315,4087,275174,FALSE,Spanish
masondota2,250624350,83205,8377,2882,104526,FALSE,English
Annoying,250297065,64290,17361,3884,431285,FALSE,English
고차비 (kumikomii),249821475,152370,5227,1615,177741,FALSE,Korean
Manyrin,249488880,109125,17140,2284,449520,FALSE,Russian
1DrakoNz,249476295,99180,15242,2655,373375,TRUE,Portuguese
Pace22,247862850,156975,10350,1524,171871,TRUE,English
Rammus53,247730100,104520,16370,2217,978645,TRUE,Turkish
SaltyTeemo,247613265,517980,1803,476,173196,FALSE,English
Odablock,247535550,101595,29397,2336,131966,FALSE,English
MckyTV,247481385,65025,49791,3599,722041,FALSE,German
Calebhart42,246974370,124830,6763,1808,177595,FALSE,English
MacieJay,246761880,107805,7318,2249,835787,FALSE,English
R6esportsBR,246712590,47100,60386,4021,323856,FALSE,Portuguese
chistor_,246342825,128430,7099,1838,89608,FALSE,Russian
Kephrii,245934495,165135,8709,1297,559647,FALSE,English
FEDMYSTER,245399790,24945,35011,9086,609723,FALSE,English
Gosu,244854375,64590,16362,3502,1751290,FALSE,English
supertf,244635645,90585,9118,2526,196136,FALSE,English
MoMaN,244502235,145755,16550,1363,360418,TRUE,French
Kotton,244412715,73005,58818,2757,253065,TRUE,English
saintvicious,244262295,168030,5370,1422,247236,FALSE,English
winstrike_tv,243711495,19695,153252,12058,148183,FALSE,Russian
pijack11,243578730,148140,8181,1569,252717,TRUE,Portuguese
pqueen,243465255,88965,11976,2602,485787,FALSE,Turkish
Northernlion,242833140,60855,9312,3968,359260,FALSE,English
Nattank,241616550,144480,8770,1537,86544,TRUE,Portuguese
bmkibler,241615470,103230,15034,2247,475075,FALSE,English
Arteezy,240834885,12285,31009,19681,634982,TRUE,English
선바 (sunbaking),240663180,86235,8260,2762,251416,FALSE,Korean
flamuu,239018790,126915,5242,1851,117425,TRUE,English
Mixwell,238993935,52905,23552,4219,331208,FALSE,Spanish
AntoineDanielLive,238217145,54870,16671,3964,416920,FALSE,French
G4G_REVENANT,237767160,82110,14376,2947,284620,FALSE,Spanish
maxim,236707830,71685,21262,3173,312566,TRUE,German
양띵 (yd0821),236218920,28275,38412,8075,279864,FALSE,Korean
c9judite,235689105,364425,8210,644,105341,FALSE,Portuguese
WOKE,235303170,51600,50598,3827,107484,TRUE,English
Amaz,235255500,84525,12652,2764,915023,FALSE,English
ESL_SC2,234726075,278745,40072,1414,305311,FALSE,English
CooLifeGame,234307740,47010,15459,4415,395859,FALSE,Spanish
BruceGrannec,234104805,78270,11287,3011,463188,FALSE,French
CuteDog_,234058290,207090,7016,1104,113658,TRUE,English
大丸 (wtf_winds123),233395950,92775,11975,2410,259338,FALSE,Chinese
theRealShooKon3,233210205,166260,6148,1333,126282,TRUE,English
Albralelie,232815960,128580,18730,1668,240030,FALSE,English
룩삼 (looksam),232224165,75030,32222,3302,285474,FALSE,Korean
GTimeTV,232140015,187335,14110,1022,665021,TRUE,German
WagamamaTV,231985905,178470,7377,1268,312799,FALSE,English
sleepy,231452460,107280,8855,2103,317125,FALSE,English
FifaTargrean,231025755,170820,6721,1353,396862,FALSE,Thai
GrandPOObear,231011760,101175,13295,2230,253619,TRUE,English
Pun1shers_TV,230552955,123345,6289,1961,82289,FALSE,Greek
gamelifeow,229805670,99600,37939,1659,234471,FALSE,Russian
Sh4dowehhh,229762950,112875,11788,2012,84234,FALSE,Russian
LuluLuvely,229749045,107070,10110,2178,431852,FALSE,English
Swifty,229431480,122160,19884,1572,615027,FALSE,English
Mibrtv,228640020,82620,151094,3310,250709,FALSE,Portuguese
PsheroTV,228376905,184215,10739,1166,202779,TRUE,English
bytarifaaa,228077640,15390,121009,13435,638657,FALSE,Spanish
Alderiate,227675805,69030,11480,3337,319860,FALSE,French
Solaaaa,227479455,96375,16718,2227,309594,FALSE,German
Strippin,227458650,121575,9127,1816,293665,FALSE,English
Mendo,226473345,99480,25321,1959,518090,TRUE,English
Pikabooirl,225939795,103740,21309,2146,237214,FALSE,English
Skadoodle,225401640,89955,30357,2318,611890,TRUE,English
MasterSnakou,225243465,124275,12948,1786,448316,FALSE,French
루시아 (lucia94),224762820,141705,8886,1603,82578,FALSE,Korean
Otzdarva,222546390,91905,14940,2387,262104,FALSE,English
꽃핀 (cherrypach),222377040,94125,10985,2369,240835,FALSE,Korean
Opat04,222161730,116775,9497,1814,178477,FALSE,Czech
icebergdoto,221837100,52380,16441,3746,171113,FALSE,Russian
P4wnyhof,221823735,181830,7196,1205,489174,FALSE,German
Mazarin1k,220905615,202410,9605,780,205378,FALSE,Czech
김뚜띠_ (kimdduddi),219998175,90750,7244,2318,149158,FALSE,Korean
옥냥이 (rooftopcat99),218888325,92805,8794,2256,214028,FALSE,Korean
KingGothalion,218707740,34875,41994,5792,1015521,FALSE,English
ItsSlikeR,218576850,95655,12762,2317,283503,TRUE,English
Alinity,218509065,90150,17341,2441,1203324,FALSE,English
TidesofTime,218415420,88485,12457,2104,251700,FALSE,English
GernaderJake,218318010,146295,21162,1347,295771,FALSE,English
スタンミ (sutanmi),217833015,80190,7854,2683,53124,FALSE,Japanese
DarioMocciaTwitch,217475940,103995,8160,1749,114376,FALSE,Italian
bebe872,217343400,212205,4965,1087,70232,FALSE,English
Lasqa,216969405,72210,10010,2863,135446,TRUE,Russian
六希夫 (qttsix),216951540,154035,9671,1412,118305,FALSE,Chinese
Flight23white,216792240,31455,74388,7522,828896,FALSE,English
Heelmike,216316170,101400,18963,2115,308927,TRUE,English
OGADotaPIT,216072855,18705,60846,10161,157820,FALSE,English
SoloRenektonOnly,215806260,122985,5118,1735,391603,FALSE,English
OfficialAndyPyro,215726910,209625,9676,1027,255595,TRUE,Finnish
k3soju,215233395,125865,7504,1647,76666,FALSE,English
SkyrrozTV,215122605,85890,17061,2185,597890,FALSE,French
LeBouseuh,214699305,61455,24497,3678,988237,FALSE,French
BikeMan,214504440,136845,7223,1486,264192,TRUE,English
Rubini,214130175,161985,5521,1284,102528,TRUE,Portuguese
JLWaliid,213819030,94875,19603,2239,272391,FALSE,French
qSnake,212541900,152955,5441,1389,200878,FALSE,Russian
Criken,212449905,113040,11050,1828,285509,TRUE,English
Loserfruit,212318190,99525,42374,1816,1869993,FALSE,English
Broxah,212141310,46605,13137,4269,317896,FALSE,English
JonVlogs,212114490,81180,21617,2239,480299,FALSE,Portuguese
ImSoFresh,211617645,180060,5788,1119,111954,FALSE,French
BeBePtv,211307910,110010,14353,1865,57205,FALSE,Russian
TrilluXe,210899220,79170,27943,2095,412495,FALSE,German
landonorris,209499930,30120,97550,6524,584831,FALSE,English
LotharHS,208564530,152235,14561,898,251812,FALSE,Polish
ElcanaldeJoaco,208060515,20445,48072,8673,810622,TRUE,Spanish
CzechCloud,207938580,145050,8212,978,180668,FALSE,Czech
chess24,207560115,82035,32856,1603,66198,FALSE,English
TheNo1Alex,206694345,176910,8554,1105,140855,FALSE,English
Crystal_LoL,206487075,139725,7471,1466,167132,FALSE,Turkish
WeAreTheVR,206446935,75975,20851,2688,410814,TRUE,Hungarian
AdzTV,206255820,137250,11247,1443,489577,FALSE,French
IrmanPlay,205792560,42570,17697,2612,252042,FALSE,Russian
Tomato,205792050,76080,5358,2675,92634,TRUE,English
쫀득이_ (pjs9073),205748130,79215,15654,2597,193757,FALSE,Korean
runitup247,205746015,486000,1182,422,91608,FALSE,English
NeZaK_,205442370,134205,7262,1407,255840,FALSE,Italian
피닉스박1 (xkwhd),205225605,179595,9938,1139,142209,FALSE,Korean
skill4ltu,205017270,135510,4049,1503,127741,TRUE,English
ilMasseo,204889125,92370,8980,2184,617665,FALSE,Italian
Worrun_,204440715,94455,41881,1728,146163,TRUE,English
brax,204330900,26010,28736,5295,574927,FALSE,English
rewinside,204116820,48420,24167,4455,1259972,FALSE,German
금사향 (sah_yang),204029970,125325,7143,1559,206794,FALSE,Korean
HAchubby,203908095,73110,13675,2779,221461,FALSE,English
Recrent,203854050,129375,6781,1502,220789,FALSE,Russian
iLame,203117655,161025,4911,1243,233263,TRUE,Russian
ixxYjYxxi,203102445,37305,15223,5459,857099,FALSE,Arabic
Wingsofdeath,202858185,144150,7176,1343,473157,FALSE,English
mang0,202842615,140325,24391,1403,328671,TRUE,English
Kamikatze,202635300,126900,8509,1586,107476,FALSE,German
Philza,202591425,62925,24611,2991,527540,FALSE,English
Kurumx,202487955,131190,16413,1543,50286,FALSE,English
Pieface23,201823125,93360,14072,2149,238155,FALSE,English
CurtisRyan,201233880,162660,7245,1205,65688,TRUE,English
CalebDMTG,200582400,121635,5446,1608,71327,FALSE,English
MarkiLokurasY,200552295,71070,26329,2714,923377,FALSE,Spanish
JLBichouu,200256675,90720,16461,2039,212578,FALSE,French
나나양 (nanayango3o),199960005,122025,6411,1589,147351,FALSE,Korean
DavyJones,199829100,48375,44526,4111,955846,FALSE,Portuguese
Fairlight_Excalibur,199826220,163650,19156,1208,408958,FALSE,English
PG_Esports,199821495,107715,24734,1933,112874,FALSE,Italian
StreamerHouse,199501650,496545,12609,402,630255,FALSE,English
Peereira7,198252765,133800,14532,1377,377689,TRUE,Spanish
Twitch,198083340,12015,130795,9190,1189614,FALSE,English
Sev7n,197315655,183630,31836,1037,469944,FALSE,Portuguese
Wardiii,196743645,104280,9459,1670,76777,FALSE,English
자동 (tranth),196585155,142260,5451,1402,85764,FALSE,Korean
Kubon_,195943620,145845,9545,1323,267984,FALSE,Polish
KarasMai,195800370,138300,6728,1374,281664,FALSE,English
Sloot,195525465,207555,21283,937,205002,FALSE,English
LPMassive,195448335,81270,18813,2181,315264,FALSE,German
羅傑 (roger9527),195398655,34620,12707,5401,131484,FALSE,Chinese
ChicaLive,195344370,92445,14928,2045,1041932,FALSE,English
도현_ (d_obby),195270330,129525,16860,1401,195405,FALSE,Korean
Valkia,194961090,106335,23519,1008,308459,FALSE,English
caps,194376465,17865,26754,10170,479368,FALSE,English
龜狗 (gueigotv),194262165,134895,9918,1373,165232,TRUE,Chinese
Alfie,194074230,181755,15588,971,183885,FALSE,English
NiceWigg,193912155,130140,13013,1475,184033,FALSE,English
zEkO,193867860,44970,21313,4440,743040,TRUE,Spanish
x6FlipiN,193573740,61095,19304,2712,279204,TRUE,Spanish
JASONR,193460805,188205,33902,992,777611,FALSE,English
Dhalucard,192609885,83400,22306,1828,269408,FALSE,German
duckmanzch,192428310,129945,14684,1363,122694,FALSE,Thai
MrBboy45,191523465,110835,9408,1659,318995,FALSE,French
인간젤리 (ses836),190448565,157200,7683,1213,105730,FALSE,Korean
AladdinTV,189890160,131490,4279,1416,110211,FALSE,German
miniminter,189756300,41400,27188,4215,858427,FALSE,English
ClintStevens,189206565,40125,15223,4445,393432,FALSE,English
NoctisAK47,189081300,171270,7264,1052,73584,TRUE,Thai
Daxak,188764350,84855,7721,2061,116897,FALSE,Russian
ThaldrinLol,188750280,112095,11305,1671,521166,FALSE,Turkish
olyashaa,187722975,77730,9142,2296,559877,FALSE,Russian
Jay3,187658970,165585,9514,1111,189654,FALSE,English
SovietWomble,187497450,63360,9616,2900,1368076,TRUE,English
GodHunt,187099860,94590,19032,1820,202883,FALSE,Russian
Everyeyeit,187019640,133125,18421,1236,86590,FALSE,Italian
Speedrun,186800430,500010,16604,375,93358,FALSE,English
iamSometimes,186597300,102870,23238,2004,179552,FALSE,Thai
Broeki1,186562710,141675,13091,1317,150944,TRUE,German
hexy,186060390,90495,14020,2092,336093,FALSE,English
Etoiles,185982570,78165,45364,2090,220873,FALSE,French
xChocoBars,185905980,96300,37216,1917,583881,FALSE,English
GN_GG,185795730,108075,4859,1715,91514,FALSE,Russian
SheriffEli,185394810,143400,5988,1291,265814,TRUE,English
iateyourpie,184820460,181335,10962,987,124020,FALSE,English
KYR_SP33DY,184233300,95055,6607,1879,706212,FALSE,English
armateam,183066645,379680,3181,479,187315,FALSE,French
JeelTV,182390235,99870,7302,1768,357385,FALSE,French
Pengu,182358345,70665,7707,2452,775987,TRUE,English
태준이 (dlxowns45),182309400,79620,10549,2023,346631,FALSE,Korean
gabepeixe,181929585,101730,5955,1788,149362,TRUE,Portuguese
TSM_TheOddOne,181908120,188445,4363,913,864087,FALSE,English
luke4316live,181729410,307005,2757,636,168531,FALSE,Italian
VGBootCamp,181431360,77085,97791,1534,521938,FALSE,English
CapcomFighters,181252125,23850,84858,5684,348447,FALSE,English
Datto,181075290,71400,82047,2122,530822,TRUE,English
NeverSayYesTwitch,180978855,115455,10771,1357,194933,FALSE,French
BeatportOfficial,180850230,27765,48457,5300,126546,FALSE,English
포셔 (portialyn),180674100,128385,4498,1349,39485,FALSE,Korean
케인 (kanetv8),180360300,130365,10087,1313,141167,FALSE,Korean
Sanchovies,180166830,141225,15588,1250,154845,FALSE,English
GhostFreak66,179939730,107295,94791,1029,111646,TRUE,English
RTAinJapan,179880525,16155,42822,8383,71730,FALSE,Japanese
WankilStudio,179581950,17235,28866,10173,726730,FALSE,French
SLAKUN10,179262330,9555,48358,18906,1874932,FALSE,Spanish
Monkeynews,179083095,154965,72483,1288,80290,TRUE,English
forever,178945815,29625,53702,5300,373484,FALSE,Portuguese
AlpTV,178729455,38625,33059,2913,576276,FALSE,Turkish
Crocodyle_lol,178727670,96000,8810,1802,107835,TRUE,French
WARDELL,178718460,127155,16215,1394,306435,TRUE,English
Tiagovski555YT,178563045,76065,11245,2061,220585,FALSE,Portuguese
Altair,178537155,145605,3702,1183,42265,TRUE,French
NiteNightKid,178419030,149040,29228,1127,28818,TRUE,English
fuslie,178245645,67560,45247,2504,336394,FALSE,English
Tyceno,177947595,42825,40407,4015,297359,TRUE,English
Faux,177800325,151170,15167,1133,237909,FALSE,English
RiotGamesTurkish,177746055,23835,36258,7414,651994,FALSE,Turkish
makataO,177510525,182775,12292,910,391656,FALSE,Russian
Drjayfisto,177159195,155340,4092,1105,130341,TRUE,English
CarTmaNzbs,176608230,96615,7809,1793,386948,FALSE,Russian
Th3Antonio,176072760,62175,13955,2419,223756,FALSE,Spanish
BigEx,176005440,96870,21401,1569,256448,FALSE,English
BigSpinCR,175255470,92970,21815,1824,185784,FALSE,German
Maghla,175236000,77505,16695,2124,329065,TRUE,French
Becca,174842160,115200,11405,1500,357844,FALSE,English
SirhcEz,174824130,133410,5928,1279,579629,FALSE,English
twlevewinsHS,174228915,102900,5425,1711,38410,FALSE,English
코렛트 (collet11),174087030,136065,6144,1248,215304,FALSE,Korean
Zombie_Barricades,173823135,228765,4497,735,172386,TRUE,English
NBA2KLeague,173779995,28245,48495,4264,143535,FALSE,English
XBOCT,173672880,35970,20110,4473,318230,FALSE,Russian
shtan_udachi,173627565,87210,7220,1929,100852,FALSE,Russian
orslok,173607810,52005,21759,3082,327888,FALSE,Spanish
BRNWOWZK1,173484990,365670,6981,465,173713,TRUE,Portuguese
HellYeahPlay,173443275,103830,3946,1706,136885,FALSE,Russian
홍방장 (game2eye),173015430,96045,5698,1669,183891,FALSE,Korean
grafo,172499415,111105,7165,1544,414577,FALSE,Spanish
xTheSolutionTV,172316145,78030,16093,2027,320629,FALSE,German
Igromania,172086390,186960,6159,939,184078,FALSE,Russian
Back2Warcraft,171822405,93345,8309,1697,94929,FALSE,German
超負荷 (sam1268),171602475,35805,11861,4538,148702,TRUE,Chinese
10000DAYS,171293220,131565,11193,1255,356683,FALSE,Turkish
iProMx,171223080,36000,8874,4576,151788,FALSE,French
짬타수아 (zzamtiger0310),171115545,90345,6217,1876,185684,FALSE,Korean
GingiTV,171013470,89805,6450,1713,156597,FALSE,English
venruki,170464680,133110,13179,1264,292558,FALSE,English
Pimpeano,170116395,21420,38592,6469,740343,TRUE,Spanish
MatteoHS,169885590,141525,5827,1176,428553,FALSE,Italian
nugiyen,169858440,159135,8448,996,121984,FALSE,English
HighDistortion,169501845,105630,20179,1397,1677690,FALSE,English
LuquEt4,169456620,153855,4958,1081,74404,TRUE,Portuguese
THump,169365870,92055,8063,1885,250786,TRUE,English
MaTaFe_,169215480,153525,8535,1096,116653,TRUE,English
rxnexus,169026750,112095,6765,1475,255944,FALSE,Russian
VaporaDark,168943005,70650,5041,2338,101359,FALSE,English
PaymoneyWubby,168861240,30600,16622,5485,302419,FALSE,English
RTGameCrowd,168832200,38685,20354,4259,861594,FALSE,English
다주 (dda_ju),168767490,108690,9137,1466,205041,FALSE,Korean
Bawkbasoup,168736395,130215,7853,1259,94820,TRUE,English
견자희 (wkgml),168416325,76140,10656,2210,415795,FALSE,Korean
Werlyb,168339975,57105,37980,2399,204348,FALSE,Spanish
TSM_Hamlinz,167898480,11055,51989,15483,2137521,FALSE,English
DougisRaw,167875230,153960,22641,1076,127151,TRUE,English
Mmorpg,167774640,182925,4994,908,235167,FALSE,English
BreaK,167534355,115560,9531,1432,309300,TRUE,English
berkriptepe,167325930,32790,24573,4103,622358,FALSE,Turkish
Xposed,167309220,111240,8580,1475,266853,TRUE,English
무굴 (moogrr1211),167186250,188805,2008,879,37162,FALSE,Korean
BoarControlHS,166892040,153345,3622,1064,79204,FALSE,English
Dementardo,166850715,35445,15476,4663,547154,FALSE,Spanish
CrReaM,166587645,142350,8098,1150,165906,TRUE,English
Xiuder_,166422960,172080,13675,909,312280,FALSE,Italian
SmallAnt,166352115,96720,11518,1821,255156,FALSE,English
Naowh,165590085,120435,11693,1333,103636,FALSE,English
Tonton,165536760,133530,9738,1237,147542,FALSE,French
逼比 (bebelolz),165015915,64650,7592,2488,260119,FALSE,Chinese
踢虧 (takesipon),164981160,111600,8103,1534,57634,FALSE,Chinese
Vargskelethor,164759730,58395,6577,2809,287063,TRUE,English
핑맨 (95pingman),164673495,47430,26738,3449,195423,FALSE,Korean
LobosJr,163736505,121335,12709,1332,375646,TRUE,English
ZONY,163669320,147990,7172,1118,260125,FALSE,Polish
Monstercat,163589370,519675,14261,313,788684,FALSE,English
k1ng,163381335,36540,52558,4365,706537,FALSE,Spanish
DuelLinksMeta,163307010,89910,5792,1886,88697,FALSE,English
Esports_Alliance,163208925,37110,27040,4293,117084,FALSE,Thai
lolesportsla,163132800,40950,37187,4586,186208,FALSE,Spanish
Vovo,162887760,150555,7268,974,141898,TRUE,Portuguese
goncho,162817050,61770,18091,2431,442412,TRUE,Spanish
MenosTrece,162738420,107700,7132,1481,470873,FALSE,Spanish
swimstrim,162723510,108540,13314,1383,137885,FALSE,English
AnneMunition,162714930,99345,37236,1586,621921,FALSE,English
Reverse2k,162618315,181665,14160,925,380488,FALSE,English
erobb221,162559230,82470,10391,2028,244207,FALSE,English
voicetv,162510660,514845,1874,314,3660,FALSE,Thai
FFearFFul,162232935,36165,116245,5305,727059,FALSE,Arabic
Cryaotic,162138405,85785,7169,1727,813371,TRUE,English
Dmitry_Lixxx,161818335,51600,26715,3006,347824,FALSE,Russian
Sweatcicle,161489220,137880,14550,1023,160000,TRUE,English
tebtv,161468685,69315,13639,2177,76050,FALSE,English
_연두부_ (lovelyyeon),161371665,140535,4282,1115,108382,FALSE,Korean
pankylol,161208750,51015,17394,3141,284563,FALSE,Turkish
Alkaizerx,161185890,103950,12430,1312,153870,TRUE,English
hastad,160672260,85545,10888,1812,868738,FALSE,Portuguese
미라지 (mirage720),160163880,94005,30706,1638,352412,FALSE,Korean
Tanxlive,159875505,161010,6899,971,244133,TRUE,Thai
Rogue,159761910,121005,7289,1186,169330,FALSE,English
easywithaces,159655155,107910,18686,1388,90359,TRUE,English
BeyondTheSummit_PT2,159647175,104955,126254,796,178612,FALSE,Portuguese
CarritosKami,159557775,104955,14634,1681,165439,FALSE,Spanish
dizzy,159505395,49125,19262,2997,795869,TRUE,English
EAMaddenNFL,159449055,19995,57179,5697,241924,FALSE,English
TobiasFate,159172080,127740,4681,1233,701822,FALSE,English
PUBG,159140235,32865,35922,4647,733628,FALSE,English
BananaSlamJamma,159071145,113595,5152,1263,170181,TRUE,English
Dyrus,158999070,138300,11338,1123,1474090,TRUE,English
Mushway,158995065,56820,9611,2638,310100,FALSE,French
bazattak007,158951265,87330,11217,1630,391413,FALSE,Spanish
IFrostBolt,158035530,169260,6210,897,199618,FALSE,English
Kandyland,157882170,86745,9203,1748,405554,TRUE,English
감블러 (9ambler),157852620,89715,11279,1692,144116,FALSE,Korean
Sco,157847640,57690,15241,1790,375911,FALSE,English
ProfessorBroman,157325925,154635,12676,955,732192,TRUE,English
Paoloidolo,156901800,125115,7659,1205,183900,FALSE,Italian
1PVCS,156821940,53835,23081,2256,71596,FALSE,French
강퀴 (kangqui),156544635,112755,10809,1400,57130,FALSE,Korean
AkTep,156236730,94545,6300,1541,222796,TRUE,Russian
햇살살 (hatsalsal),156211005,119040,3915,1302,77861,FALSE,Korean
PardonMyTake,156004485,25140,141406,6728,143916,FALSE,English
Sweet_Anita,155731920,57600,21594,2690,972070,TRUE,English
Draineo,155593140,124095,7777,1169,102225,FALSE,English
Cerbero_Podcast,155187570,57120,19298,2647,179420,FALSE,Italian
cellinrj,154982550,87945,7136,1711,245715,TRUE,Portuguese
SkyshockTV,154727730,94275,6213,1605,114154,FALSE,Spanish
Evangelion0,154595850,85635,8533,1777,120494,FALSE,Spanish
AnthonyZ,154524165,117735,7416,1216,199617,FALSE,English
mokrivskyi,154332060,27105,29983,5864,308815,FALSE,Russian
CaMaK,154277370,87375,9437,1759,151886,TRUE,French
Uthenera,154125945,77475,9460,2106,411346,FALSE,Turkish
Corobizar,153988380,83325,11200,1787,272635,FALSE,French
roflgator,153963765,110910,14329,1281,106365,TRUE,English
QuarterJade,153857655,61980,12144,2286,277256,FALSE,English
kutcherlol,153784695,138060,6802,1093,198818,FALSE,German
DieHahn,152767545,125025,8048,1229,231584,TRUE,German
chowh1,152754465,143415,8221,980,113551,TRUE,French
cacho01,152494320,54645,18552,2669,269080,FALSE,Spanish
natalan,152469705,60510,9561,2240,529357,TRUE,Spanish
DreamHackDota2_RU,152461155,6135,98717,22356,203419,FALSE,Russian
DuendePablo,152343585,133290,10121,1101,514073,FALSE,Spanish
小夜夜 (albislol),152033250,208485,3740,706,146276,TRUE,Chinese
UCCleague,152021685,131070,14003,1378,226974,FALSE,Russian
貝克 (slrabbit99),151739370,112845,5944,1329,106235,TRUE,Chinese
Stewie2K,151271895,24735,27416,5296,875087,TRUE,English
jorbs,151128345,117795,4084,1243,70609,FALSE,English
BlackFIreIce,150698280,139980,3044,1070,108895,FALSE,Polish
kurt0411,150579045,37710,26941,4083,142446,FALSE,English
Herdyn,150266550,123060,4254,1180,410224,TRUE,Czech
Frankkaster,150181140,30975,49127,4886,826222,TRUE,Spanish
SayNoToRage,150150330,137820,8014,1010,168463,FALSE,English
MiltonTPike1,149975130,81960,8838,1845,200012,FALSE,English
H0llyLP,149766195,130860,4958,1116,151000,TRUE,German
MarkitoNavaja,149407365,28410,26584,5070,665430,FALSE,Spanish
RobertoCein,149162865,114120,15249,1270,730326,TRUE,Spanish
KVYZEE,149052375,161580,8354,849,127963,FALSE,Russian
MarketTradersTV,148900110,499215,1357,297,30413,FALSE,English
Flambass,148717500,130395,5507,1138,71953,TRUE,English
Aa9skillz,148596180,49035,11843,2885,502696,FALSE,English
Limmy,148371105,90600,6575,1641,207508,TRUE,English
SparkofPhoenixTV,148192215,92400,15792,1462,433078,FALSE,German
kyliebitkin,147948870,127485,6688,1142,85336,TRUE,English
CoconutB,147918285,122565,4596,1171,188378,TRUE,English
FanHOTS,147664290,134550,2104,1090,64587,FALSE,English
Pelegrino1993,147243720,129210,6236,1074,80566,FALSE,Portuguese
Killars,146865810,210810,4232,642,46971,FALSE,English
Weak3n,146770110,115470,2922,1260,188176,FALSE,English
Tourva,146412075,116070,5067,1185,287553,TRUE,English
wintergaming,146245920,195615,7019,719,260779,FALSE,English
Vicens,146199795,26115,30628,5739,730679,FALSE,Spanish
PainLivestream,145610160,89775,15002,1635,435872,TRUE,German
monkeys_forever,145475145,80460,6738,1563,79270,FALSE,English
Kaydop,145291695,64830,23304,2268,193058,FALSE,French
しゃるる (syaruru3),145193595,103995,3710,1309,33726,FALSE,Japanese
primeleague,144858945,30510,19013,4427,73409,FALSE,German
LRojo_,144763395,111435,11178,1192,100767,FALSE,Spanish
trihex,144608640,121515,21721,1157,431935,TRUE,English
Spaceboy,144599880,123015,10590,1107,135311,TRUE,English
Froggen,144496815,46710,10648,3024,770030,FALSE,English
BotanicX,144361350,71445,9135,1937,34119,FALSE,Russian
dinablin,144307800,60870,29316,2413,293748,FALSE,Russian
RiceGum,144167385,12300,29173,11696,903261,FALSE,English
ipav999,144114480,191400,2536,737,163956,FALSE,English
Lutti,143841150,89220,37121,1153,226344,FALSE,French
kragiee,143449350,121890,6298,1137,234312,FALSE,English
Puppers,143414790,98595,6798,1458,171425,FALSE,English
Crayator,143191365,75165,4911,1796,599828,FALSE,English
MANvsGAME,142696875,65775,5831,2103,510330,TRUE,English
TheRealMarzaa,142547775,93015,12525,1505,495558,FALSE,Italian
foggedftw2,142444290,111675,8622,1220,242205,TRUE,English
Linkus7,142322655,121755,7248,1121,96728,FALSE,English
Arcadum,142213980,134700,13801,992,120586,FALSE,English
ImMarksman,142168560,77430,11141,1889,633443,FALSE,English
LightFuryLF,142094850,111315,15139,1169,51589,FALSE,Thai
BarcaGamer,141736230,119565,57917,1234,636568,FALSE,Spanish
EFEUYGAC,141455130,38910,14481,3700,358498,TRUE,Turkish
Xnapycz,141426165,87885,4388,1572,94551,TRUE,Czech
SilentSentry,141219225,125760,5572,1085,301633,FALSE,English
球球 (lilballzlolz),141185625,78015,6328,1724,118276,FALSE,Chinese
DaigoTheBeasTV,141183435,57525,27261,2225,173271,FALSE,Japanese
UncleBjorn,141021495,134805,4265,975,111003,FALSE,Russian
AnniTheDuck,140975745,53220,7894,2533,460463,TRUE,German
StRoGo,140812395,29385,45087,4621,272944,FALSE,Russian
재슥짱 (pikra10),140512860,124170,4659,1068,77376,FALSE,Korean
貝莉莓 (beryl_lulu),140500785,81990,15901,1739,156726,FALSE,Chinese
purple_hs,140426535,111810,5460,1149,88792,FALSE,English
Harmii,140304750,116130,7200,1159,333858,FALSE,German
Zerkaa,140243025,51000,11192,2571,529504,FALSE,English
