Channel,Watch time(Minutes),Stream time(minutes),Peak viewers,Average viewers,Followers,Mature,Language
buster,884353800,59295,97838,14195,1087377,FALSE,Russian
Scarra,864157695,138360,27421,6060,1242014,FALSE,English
Baiano,859718520,85860,107069,9229,425797,FALSE,Portuguese
괴물쥐123 (tmxk319),857951685,116400,71933,7173,427926,FALSE,Korean
WePlayEsport_RU,853324635,92970,115737,8627,346934,FALSE,Russian
elded,853049385,110940,44758,7699,2601858,FALSE,Spanish
LPL,850636305,48765,146577,17573,502467,FALSE,English
juansguarnizo,849083325,123780,45631,6039,1204773,FALSE,Spanish
Rakin,842581305,144510,51854,5333,1258173,FALSE,Portuguese
SolaryHS,827452485,460065,17513,1802,149073,FALSE,French
Cellbit,817373955,103095,68813,8264,1293451,FALSE,Portuguese
dota2ti_ru,812538090,6195,457060,126232,541644,FALSE,Russian
uzra,812362125,208785,14181,3683,185506,FALSE,Chinese
OverwatchLeague,805163370,24480,254493,33132,1796619,FALSE,English
Thijs,794621265,108720,24923,7180,755116,FALSE,English
Swagg,790021440,108375,74199,6309,784966,FALSE,English
TeePee,789698115,170010,78741,4410,520519,TRUE,English
LVNDMARK,788421150,199350,96236,3688,248829,FALSE,English
Agraelus,779867430,169515,23555,4642,414951,TRUE,Czech
BLASTPremier,753808200,25260,113167,24689,501371,FALSE,English
cloakzy,748023225,101670,40497,6743,2138294,FALSE,English
aceu,744620970,118125,26141,6328,859439,TRUE,English
蝦愛橘子 (shuteye_orange),728551080,325935,7441,2217,85247,TRUE,Chinese
Elraenn,726379485,51150,65543,13224,1223076,FALSE,Turkish
Elajjaz,726000045,145755,13080,4922,346566,FALSE,English
CDNThe3rd,722562675,134280,55752,4919,2009972,FALSE,English
POW3Rtv,721548885,177885,69009,3836,1080764,FALSE,Italian
IzakOOO,717096330,129165,43050,4463,1461767,FALSE,Polish
DreadzTV,715644660,109725,35865,6249,675908,TRUE,Russian
따효니 (ddahyoni),711864630,152445,17253,4534,322895,FALSE,Korean
WePlayEsport_EN,704823000,107745,87751,6127,175061,FALSE,English
ElmiilloR,686456910,126105,45726,5163,426716,FALSE,Spanish
Squeezie,667977780,29775,158972,19260,2149306,FALSE,French
allkeyshop_tv,663185955,487005,6075,1361,67472,FALSE,English
Domingo,662502810,65610,102022,11423,829700,FALSE,French
PlayHearthstone,661075170,41175,43877,13154,825727,FALSE,English
ESL_DOTA2,661049190,212010,99858,4714,337177,FALSE,English
Kitboga,656365305,80760,20913,7394,772055,FALSE,English
DansGaming,653181210,187530,33646,3270,817365,FALSE,English
老皮 (mobilmobil),652685055,126120,16497,5303,446426,TRUE,Chinese
Destiny,650910525,162690,24101,3894,571183,TRUE,English
우왁굳 (woowakgood),650364705,158850,14177,4100,591500,FALSE,Korean
RATIRL,649761570,145050,14480,4420,423002,TRUE,English
bratishkinoff,646333065,60795,56790,10626,1128907,FALSE,Russian
Yogscast,644580630,443130,54885,1384,961860,FALSE,English
앰비션_ (lol_ambition),639445965,113415,57254,5332,362297,FALSE,Korean
jukes,628079220,76605,24263,8165,1327059,FALSE,Portuguese
木棉花官方頻道 (muse_tw),625892895,446655,16702,1397,121053,TRUE,Chinese
Shlorox,625142130,115650,13945,5216,331632,FALSE,German
coscu,622424175,77160,80444,8919,1865296,FALSE,Spanish
dogdog,622199835,103335,24727,5856,594239,FALSE,English
chocoTaco,620395515,160830,30514,3846,1134153,FALSE,English
Locklear,619247415,108450,50103,5512,824676,FALSE,French
餐餐自由配 (blusewilly_retry),618755280,100515,17585,5941,374480,FALSE,Chinese
Amouranth,618067800,235170,13495,2560,1707804,FALSE,English
UberHaxorNova,615472275,181950,7808,3247,421256,FALSE,English
Sfory,612617325,73590,75219,3197,457502,FALSE,Russian
Giantwaffle,612594165,165525,36340,3429,878934,FALSE,English
ZanoXVII,610609920,95730,30648,6073,514866,FALSE,Italian
침착맨 (zilioner),601906185,97545,43164,5843,465887,FALSE,Korean
SkipNhOLIVE,600910875,498765,7940,1196,324765,FALSE,Portuguese
Kamet0,600882645,130620,70983,4560,565661,FALSE,French
MYM_ALKAPONE,599850495,97830,26221,5948,770535,FALSE,Spanish
김진우 (jinu6734),597275955,121545,12810,4710,274875,FALSE,Korean
imaqtpie,596368095,167190,26087,3478,2652018,FALSE,English
x2Twins,595707975,125745,31874,4167,1288969,FALSE,English
C_a_k_e,588662010,129660,17317,4403,302633,FALSE,Russian
SmiteGame,586925850,344055,33245,1588,535211,FALSE,English
